City Code,Site ID,"Sample Date
mm-dd-yy","Sample 
Time 24 hr
hh:mm","Prior 24 hr
Rainfall  inches","Prior 72 hr
Rainfall  inches",Est. Tide Height     feet,Flow Rate,Outflow > expected   No=1 Yes=2,Air Temp  °C,Water Temp   °C,"Dissolved Oxygen
mg/l",pH,"Conductivity
(SPC)
uS/cm",Salinity ppt,"Turbidity
NTU","E. coli 
cfu/100ml","Duplicate E. coli 
cfu/100ml", Enterococcus cfu/100ml,Duplicate Enterococcus cfu/100ml,Color,Odor,Visual,Comments,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,02-24-22,,,0.10,,Present,1,3.0,8.9,11.75,7.98,308.6,0.15,9,360,,,,0,0,0,Some floaties in the water; Snowed last night; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,03-24-22,,,0.22,,Present,1,15.2,10.5,11.65,7.7,232.1,0.11,9,1040,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,04-18-22,,,0.00,,Present,1,13.7,11.0,10.87,7.5,252,0.12,9,220,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,05-18-22,,,0.75,,Present,1,12.2,12.0,10.56,8.11,223.9,0.11,9,480,,,,0,0,1,Visual: foam,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,06-15-22,,,0.10,,Present,1,19.1,13.9,10.1,7.56,247.1,0.12,9,220,,,,0,0,0,Looks like rocks fell at the mouth of the outfall and it changed the course of the water flow - it is now going through the pipe. Sample was taken further up pipe than previous.,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,07-26-22,,,0.00,,Present,1,23.1,17.0,10.03,7.61,294.7,0.14,9,20480,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,08-25-22,,,0.00,,Present,1,23.5,18.3,9.48,7.65,411.2,0.2,9,2400,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,09-07-22,,,0.00,,Present,1,15.5,17.2,6.33,7.33,339.9,0.15,9,0,,,,0,0,1,Visual: Foam,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,10-04-22,,,0.00,,Present,1,13.0,16.2,9.59,8.13,273,0.13,9,14700,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,11-07-22,,,1.78,,Present,1,1.1,12.7,10.4,8.27,238.6,0.11,9,600,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,12-05-22,,,0.02,,Present,1,5.8,10.6,10.93,8.21,254.4,0.12,9,500,,,,0,0,0,"So much bacterial growing on filter, the colonies were small and blurring together; this is likely an undercount",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,01-03-23,,,0.09,,Present,1,4.8,10.3,11.64,7.65,243.4,0.12,9,5000,,,,0,0,0,Bacteria: too many to count,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,02-15-23,,,0.12,,Present,1,6.7,9.5,12.11,7.36,287.9,0.14,9,178,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,03-15-23,,,0.40,,Present,1,9.0,9.8,12.4,6.97,308.5,0.15,9,700,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,04-11-23,,,0.20,,Present,1,10.0,10.4,,7.93,268.7,0.13,9,470,,5,,0,0,0,DO Probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,05-12-23,,,0.00,,Present,1,21.0,13.5,,7.16,398.2,0.19,9,55,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,06-06-23,,,0.00,,Present,1,21.1,15.2,,7.5,910,0.45,9,315,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,07-18-23,,,0.00,,Present,1,24.7,17.2,9.11,7.99,467.7,0.23,2.14,130,,,,0,0,0,New DO Probe and Turbidity meter,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,08-01-23,,,0.00,,Present,1,21.6,17.6,9.12,8.06,454.5,0.22,0,30,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,09-27-23,10:15,,0.37,0.5,Moderate,,14.2,16.1,8.21,7.65,697,0.34,0,,,1233,,0,0,0,bact volume = 20 ml; E coli R card failure (E coli = 5 cfu/100 ml),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,10-26-23,9:35,0.00,,1.6,Moderate,1,6.2,13.1,10.42,7.84,267.1,0.13,2.21,,,270,,0,0,0,2-sided rcard ecoli failure (E coli = 0 cfu/100 ml),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,11-22-23,17:50,0.21,,,Present,1,8.6,11.3,7.44,7.85,221.2,0.11,0,155,,5,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,11-22-23,17:50,0.21,,,Present,1,8.6,11.8,7.31,7.83,222.2,0.11,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,12-13-23,20:26,0.07,,,Moderate,1,6.7,11.3,7.47,7.61,,0.15,0,1060,,125,,0,0,0,negative control (6 count) 30 cfu/100ml,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,01-08-24,19:11,0.40,,1.5,High,1,7.4,7.1,9.57,7.2,88.5,0.04,5.98,315,,255,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,02-07-24,19:12,0.02,,-1.9,Moderate,1,8.1,9.7,11.8,7.57,317.14,0.15,3.13,175,,60,,0,0,1,visual: foam,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,02-07-24,19:18,0.02,,-1.9,Moderate,1,9.2,9.7,11.5,7.75,320,0.15,1.13,185,,60,,0,0,1,visual: foam,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Bennett Ave,03-18-24,18:45,0.00,,0.5,Moderate,1,14.0,10.4,12.16,7.4,270.8,0.13,0,3000,3750,800,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,02-03-21,,,2.30,,Present,1,8.9,8.7,11.51,7.55,249.2,0.12,9,260,,,,0,1,0,Odor - rotten eggs,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,02-03-21,,,2.30,,Present,1,8.9,8.7,11.13,7.45,247.7,0.12,9,300,,,,0,1,0,odor - rotten egg; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,03-16-21,,,0.14,,Present,1,9.4,9.0,7.22,7.3,393.1,0.19,9,60,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,04-15-21,,,0.00,,Present,1,20.0,11.4,,6.84,222.8,0.11,9,20,,,,0,0,0,Odor - smelled like mussels; DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,04-15-21,,,0.00,,Present,1,20.0,10.7,,6.9,393.3,0.11,9,20,,,,0,0,0,Odor - smelled like mussels; DO probe not working; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,05-11-21,,,0.01,,Present,1,17.3,13.9,,6.96,340.7,0.16,9,40,,,,0,0,0,DO Probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,06-08-21,,,0.13,,Present,1,22.1,15.1,9.58,7,417.4,0.2,9,60,,,,0,0,0,Mussel decay smell,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,07-06-21,,,0.00,,Present,1,22.2,17.2,8.99,7.26,453.3,0.22,9,40,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,08-11-21,,,0.16,,Present,1,22.3,18.1,9.23,7.09,498.1,0.24,9,20,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,09-07-21,,,0.18,,Present,1,16.5,17.2,9.71,7.46,462.8,0.22,9,60,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,10-04-21,,,0.53,,Present,1,14.2,16.0,9.3,7.14,366.4,0.18,9,20,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,10-04-21,,,0.53,,Present,1,14.2,16.0,9.12,7.22,361.4,0.17,9,20,,,,0,0,0,duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,11-01-21,,,0.00,,Present,1,7.2,13.2,9.84,7.57,328.8,0.16,9,120,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,12-01-21,,,1.36,,Present,1,13.9,11.7,12.06,7.26,149.2,0.07,9,600,,,,1,0,0,Color: yellow; Sampling done after 3 atmospheric rivers (Nov had 13.5 in rain); Turbidity may be off due to non-natural light (sampled in the dark),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,12-01-21,,,1.36,,Present,1,13.9,11.7,11.8,7.23,149.2,0.07,9,280,,,,1,0,0,Color: yellow; Sampling done after 3 atmospheric rivers (Nov had 13.5 in rain); Turbidity may be off due to non-natural light (sampled in the dark),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,01-13-22,,,0.64,,Present,1,5.5,8.3,11.76,7.44,276.8,0.13,9,280,,,,0,0,0,Visual: white growth seen en route to outfall; Odor: sulfer smell en route to outfall,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,02-24-22,,,0.10,,Present,1,3.0,8.0,11.21,7.77,789,0.39,9,40,,,,0,0,0,Snowed last night,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,03-24-22,,,0.22,,Present,1,15.2,9.5,11.75,7.45,273.9,0.13,9,100,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,04-18-22,,,0.00,,Present,1,13.7,10.5,10.66,7.52,347.8,0.17,9,20,,,,0,0,1,Visual: foam,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,05-18-22,,,0.75,,Present,1,12.2,12.3,10.39,7.93,224.9,0.11,9,480,,,,1,0,1,Color: yellow; Visual: brown foam,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,06-15-22,,,0.10,,Present,1,19.1,14.3,9.89,7.37,329.3,0.16,9,240,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,07-26-22,,,0.00,,Present,1,23.1,17.6,9.85,7.39,425,0.2,9,0,,,,1,0,0,Color: yellow; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,07-26-22,,,0.00,,Present,1,23.1,17.5,9.67,7.29,428.8,0.21,9,60,,,,1,0,0,Color: yellow,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,08-15-22,,,0.00,,Present,1,23.3,18.0,9.37,7.73,600,0.29,9,1380,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,09-06-22,,,0.00,,Present,1,14.6,17.1,6.94,7.7,501.1,0.24,9,0,,,,0,0,0,Began using R-cards for E. coli sampling,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,10-04-22,,,0.00,,Present,1,13.0,16.1,9.33,7.76,446.3,0.22,9,100,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,11-07-22,,,1.78,,Present,1,1.1,12.6,10.42,8.29,290.7,0.14,9,1900,,,,0,0,0,A little foam in pool below outfall,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,12-05-22,,,0.02,,Present,1,5.8,9.4,11.43,6.94,402.5,0.19,9,68,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,01-03-23,,,0.09,,Present,1,4.8,8.7,11.43,7.58,322.6,0.15,9,50,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,02-15-23,,,0.12,,Present,1,6.7,8.7,12.41,7.35,318.7,0.15,9,6,,,,0,0,1,Visual: foam; Water a little cloudy in turbidity tube; White microbial mass on beach upon approach,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,03-14-23,,,0.39,,Present,1,10.0,8.6,12.46,6.57,279.5,0.13,9,200,,,,1,0,0,Color-yellow,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,04-12-23,,,0.21,,Present,1,8.0,10.1,11.26,7.46,230.9,0.11,9,25,,,,1,0,0,"Color: yellow, water was cloudy in appearance",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,05-09-23,,,0.04,,Present,1,13.0,12.4,,8.41,383.9,0.19,9,40,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,06-06-23,,,0.00,,Present,1,21.1,15.5,,7.1,397.9,0.19,9,20,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,07-19-23,,,0.00,,Present,1,24.0,17.5,9.13,7.67,442.1,0.21,10.26,100,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,07-19-23,,,0.00,,Present,1,24.0,17.3,9.17,7.83,433.1,0.21,8.17,165,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,08-02-23,,,0.00,,Present,1,19.7,18.1,8.77,7.53,500,0.24,11.09,260,,,,1,0,0,color:yellow,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,09-25-23,10:02,,0.41,-0.7,Moderate,1,16.3,16.8,7.62,7.54,303.7,0.15,12.97,110,,1105,,1,0,0,color - yellow; bact volume = 20 ml; bact - counted one square for entero and extrapolated,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,10-11-23,9:34,0.19,,2.1,Moderate,1,13.1,15.3,8.08,7.24,441.3,0.21,0.99,,,230,,1,0,1,color:yellow; visual:foam;  2-sided rcard ecoli failure (E coli = 15 cfu/100 ml),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,11-13-23,20:41,0.20,,-1.5,Moderate,1,6.7,12.4,10.2,7.33,280.4,0.13,2.07,320,,,,1,2,0,"color = yellow; odor = sulfur; dark out, hard to determine visuals, sulfur scent but usual for this outflow",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,12-13-23,20:00,0.00,,-2.7,High,1,8.4,9.7,11.06,7.24,241.2,0.12,4.75,115,,10,,1,1,0,"slightly yellow, slight sulfer smell; turbidity taken in sample bottle next morning after meter was recalibrated; bacteria processing took place the next morning too",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,01-23-24,20:18,0.04,,-1.2,High,1,7.3,5.6,12.9,7.07,302.5,0.14,2.44,175,,35,,2,3,0,"color: yellow; odor: sulfur; rainfall was 0.04 in, but a generous amount of snow melt over the past couple of days; white film patches on rock of wrack line",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,01-23-24,20:19,0.04,,-1.2,High,1,7.3,5.6,12.71,7.17,302.6,0.14,3.08,135,,100,,2,3,0,"color: yellow; odor: sulfur; rainfall was 0.04 in, but a generous amount of snow melt over the past couple of days; white film patches on rock of wrack line",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,02-15-24,15:46,0.00,,0.7,High,1,6.0,8.6,12.04,7.38,374.2,0.18,0,125,,25,,1,0,1,"white mass up above outfall (microbial?) seen in January, yellow color, foam present",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Broadway St,03-13-24,15:26,0.00,,0.1,High,1,13.5,8.8,113.7,7.42,381.3,0.18,3.56,175,,250,,1,1,0,color: yellow; odor: sulfur;  Two 2 ml samples with 850 and 500 cfu/100ml for E. coli and 150 and 350 cfu/100 for Enterococcus; 48 hour incubation; possible microbial mat present on beach at same location (see picture),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,12-03-20,13:30,,,,Present,1,7.8,9.4,6.47,7.13,299.42,,,,,,,,2,,Odor of rotten eggs,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,02-03-21,,,2.30,,Present,1,8.9,8.1,10.17,7.34,3920,2.08,9,80,,,,1,2,0,"color - milky; odor - rotten eggs and mold; First YSI reading had high salinity, second sample was taken from top of water column and resulted in less salinity, this sample was recorded.",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,03-16-21,,,0.14,,Present,1,9.4,7.4,11.65,7.68,611.6,0.3,9,100,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,04-15-21,,,0.00,,Present,1,20.0,10.9,,7.18,520.7,0.25,9,60,,,,0,0,0,DO probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,05-11-21,,,0.01,,Present,1,17.3,13.6,,7.23,1289,0.84,9,120,,,,1,0,0,Color - yellow; DO Probe not working,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,05-11-21,,,0.01,,Present,1,17.3,13.6,,7.3,1173,0.76,9,40,,,,1,0,0,Color - yellow; DO Probe not working; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,06-08-21,,,0.13,,Present,1,22.1,14.9,5.96,7.26,19660,11.75,9,40,,,,0,0,1,Visual - fossil fuel sheen,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,06-08-21,,,0.13,,Present,1,22.1,14.6,5.72,7.22,19610,11.72,9,40,,,,0,0,1,Visual - fossil fuel sheen; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,07-06-21,,,0.00,,Present,1,22.2,18.4,5.79,7.48,13789,8,9,240,,,,1,0,0,Color: chalky white substance most notable on eelgrass below outfall,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,08-11-21,,,0.16,,Present,1,22.3,20.9,4.53,7.04,15377,8.99,9,260,,,,1,0,0,Chalky white deposit on eel grass and rocks; Lots of Fecal Coliform (petri dish covered in pink colonies),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,09-07-21,,,0.18,,Present,1,22.8,17.9,7.26,7.54,25338,15.49,9,160,,,,0,0,2,"Chalky white substance on eelgrass and rocks, sheen in water, bubbles at the bottom of falls - might be just turbulence",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,09-07-21,,,0.18,,Present,1,22.8,17.8,7.1,7.59,25340,15.5,9,180,,,,0,0,2,"chalky white substance on eelgrass and rocks, sheen on water, bubbles at the bottom of falls - may be just turbulence; duplicate sample",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,10-04-21,,,0.53,,Present,1,14.2,14.9,7.23,7.49,2444,1.27,9,300,,,,1,1,2,"Color: yellow, Odor: sulfur, Visual: white substance (marine bacteria) that has been witnessed growing on the bottom of the bed is now on the surface creating a film",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,11-01-21,,,0.00,,Present,1,7.2,12.4,7.96,7.43,1774,0.91,9,140,,,,0,2,1,"Odor: Sulfur, Visual: marine bacteria still seen growing on substate. It was not seen on the surface of the water nor as far down the channel as previous months. Conducted Ammonia sample twice to verify and got similar readings both times",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,12-01-21,,,1.36,,Present,1,13.9,11.8,10.72,6.95,200.8,0.1,9,1900,,,,0,1,0,Odor: Sulfur; Not seeing the white stuff - but water flowing a lot and dark; Sampling done after 3 atmospheric rivers (Nov had 13.5 in rain); Turbidity may be off due to non-natural light (sampled in the dark),,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,01-13-22,,,0.64,,Present,1,5.5,8.3,10.7,7.2,498.2,0.24,9,560,,,,0,2,3,Odor: smell of sulfur and petroleum; Visual: white substance is back in abundance. Dense growth on rocks downstream of outfall.,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,02-24-22,,,0.10,,Present,1,3.0,7.0,10.71,7.17,5708,3.1,9,2240,,,,1,0,0,Color - water a little white/opaque.White microbial mat present; E. coli - too many to count; Snowed last night,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,03-24-22,,,0.22,,Present,1,15.2,10.1,10.9,7.28,1654,0.84,9,40,,,,1,2,1,Color: chalky white water; Odor: petroleum and sulfur; Visual: white microbial mat on rocks and eelgrass. We are noticing that there may be some competition occurring between the green algae on the rocks and the white microbial mat.,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,04-18-22,,,0.00,,Present,1,13.7,10.6,8.58,7.03,8794,4.92,9,760,,,,1,1,1,color: yellow; Odor: sulfur-petroleum; Visual: white microbial mat,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,05-18-22,,,0.75,,Present,1,12.2,12.3,8.85,7.35,3034,1.59,9,460,,,,1,0,2,Color: yellow; Visual: Sheen (old) and microbial mat still present,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,06-15-22,,,0.10,,Present,1,19.1,15.1,8.17,8.35,3578,1.89,9,360,,,,1,0,1,Color: yellow; Visual: white microbial mat,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,06-15-22,,,0.10,,Present,1,19.1,15.1,8.07,7.85,3701,1.96,9,380,,,,1,0,1,Color: yellow; Visual: white microbial mat; duplicate sample,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,07-26-22,,,0.00,,Present,1,23.1,20.6,5.31,7.63,19014,11.32,9,840,,,,0,0,2,Visual: fossil fuel sheen/ white microbial mat,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,08-25-22,,,0.00,,Present,1,23.5,20.5,6.72,7.28,17666,10.44,9,160,,,,0,1,2,"Odor: Sulfur;  Visual: Oil sheen, white microbial mat, some bubbles/foam",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,08-25-22,,,0.00,,Present,1,23.5,20.7,6.71,7.25,17660,10.45,9,120,,,,0,1,2,"Odor: sulfur; Visual: oil sheen, white microbial mat, some bubbles/foam",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,09-07-22,,,0.00,,Present,1,15.5,18.7,4.87,7.05,42510,27.3,9,100,,,,0,0,1,Visual: White microbial mat appears to be decreasing,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,10-04-22,,,0.00,,Present,1,13.0,16.1,6.79,6.85,25975,15.91,9,0,,,,0,0,2,Visual: white microbial mat has spread from bottom of outfall out down channel until the wire fence.,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,11-07-22,,,1.78,,Present,1,1.1,11.0,8.32,6.84,14684,8.55,9,2400,,,,0,1,1,"Odor: strong fossil fuel smell;  Visual: White microbial mat more extensive, now also in pool directly below outfall",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,12-05-22,,,0.02,,Present,1,5.8,6.8,11.25,7.24,6107,3.32,9,157,,,,0,1,2,"Odor - sulfur, Visual - sheen and white microbial mat more extensive than in past, present at outfall head, downstream to nearly the end of stream, and on banks.",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,01-03-23,,,0.09,,Present,1,4.8,7.9,10.3,7.13,2132,1.18,9,20,,,,0,2,2,"color: smell of sulfur and fossil fuel;  Visual: foam and white microbial mat. Mat appears to be expanding, it is prolific from outfall to marine edge.",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,02-15-23,,,0.12,,Present,1,6.7,6.5,13.1,7.23,596.6,0.29,9,40,,,,1,2,1,"Odor: petroleum smell, sulfur smell; Visual: microbial mat",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,03-14-23,,,0.39,,Present,1,10.0,7.4,12.22,5.36,1175,0.59,9,500,,,,1,1,1,"Color-yellow, Odor-fossil fuel, Visual-microbial mat",,,,,,,,,,,,,,,,,,,,,,,,,
BEL,C St,04-11-23,,,0.20,,Present,1,10.0,9.3,10.33,7.45,1391,0.7,15,2500,,2500,,2,1,1,"Color: brown, murky, Odor: sulfer, Visual: microbial mat. Bacteria - too many to count, number is an estimate",,,,,,,,,,,,,,,,,,,,,,,,,
